Size,Time
1000,281100
11000,301200
21000,347600
31000,97000
41000,84400
51000,106600
61000,69900
71000,83800
81000,74300
91000,80400
101000,69400
111000,55300
121000,74400
131000,70200
141000,57300
151000,86900
161000,57200
171000,120900
181000,50100
191000,38700
201000,46000
211000,37000
221000,42800
231000,46900
241000,45800
251000,48000
261000,48400
271000,55000
281000,67300
291000,67700
301000,66800
311000,64600
321000,58700
331000,60300
341000,71300
351000,62300
361000,62600
371000,62100
381000,82400
391000,77800
401000,89400
411000,77400
421000,64300
431000,73500
441000,70200
451000,70700
461000,69100
471000,71000
481000,99700
491000,100400
501000,90300
511000,73700
521000,75100
531000,72800
541000,74100
551000,81700
561000,73900
571000,97800
581000,100100
591000,78900
601000,131300
611000,89600
621000,85500
631000,79300
641000,77900
651000,78900
661000,89900
671000,79700
681000,106900
691000,167900
701000,103400
711000,150400
721000,107400
731000,99000
741000,79000
751000,72900
761000,90700
771000,82000
781000,104400
791000,103000
801000,82600
811000,88300
821000,79900
831000,86700
841000,96500
851000,103700
861000,142500
871000,92500
881000,82600
891000,98900
901000,104800
911000,98000
921000,103200
931000,96200
941000,97000
951000,103700
961000,81100
971000,84300
981000,91500
991000,94700
