Size,Time
1000,472400
11000,253300
21000,50000
31000,65400
41000,77100
51000,51900
61000,89100
71000,58100
81000,64400
91000,80700
101000,69500
111000,61000
121000,153000
131000,61100
141000,53900
151000,52600
161000,41100
171000,37500
181000,40000
191000,49800
201000,56500
211000,38700
221000,46900
231000,41400
241000,36600
251000,46200
261000,46600
271000,51800
281000,37400
291000,43000
301000,43900
311000,53600
321000,47300
331000,40700
341000,38300
351000,39000
361000,36500
371000,816800
381000,61100
391000,39500
401000,62900
411000,46700
421000,36900
431000,40000
441000,42200
451000,44200
461000,38200
471000,47800
481000,36600
491000,44900
501000,42200
511000,46200
521000,50500
531000,45400
541000,81600
551000,45300
561000,38900
571000,56400
581000,48100
591000,40400
601000,38500
611000,63200
621000,39500
631000,39700
641000,38800
651000,40000
661000,52800
671000,42900
681000,44000
691000,42700
701000,35000
711000,50200
721000,39500
731000,40700
741000,50400
751000,37400
761000,101000
771000,40700
781000,43000
791000,43500
801000,41700
811000,35000
821000,37400
831000,48000
841000,35800
851000,43100
861000,45200
871000,40100
881000,37000
891000,39900
901000,40300
911000,39800
921000,39600
931000,56500
941000,52000
951000,49800
961000,47900
971000,44200
981000,40900
991000,57300
