Size,Time
1000,3809000
11000,3265700
21000,5212200
31000,10908800
41000,8611400
51000,16020500
61000,12603600
71000,15350000
81000,18886700
91000,5930700
101000,14918500
111000,7891500
121000,26826200
131000,24973900
141000,25784500
151000,22357100
161000,21838000
171000,25760400
181000,26991500
191000,19812900
201000,24624000
211000,33663200
221000,15933400
231000,25337400
241000,23031500
251000,31838000
261000,14173300
271000,24160000
281000,39964500
291000,16935700
301000,49219600
311000,13683600
321000,14671600
331000,38758000
341000,16698900
351000,27980600
361000,38102700
371000,29648700
381000,18665700
391000,21025100
401000,20179100
411000,16684000
421000,16941700
431000,41764800
441000,27050300
451000,28064000
461000,16504100
471000,16032000
481000,32989600
491000,34301100
501000,39770600
511000,19417200
521000,28191400
531000,19942500
541000,18355300
551000,23394800
561000,30690000
571000,29759300
581000,20930500
591000,19185700
601000,24726200
611000,40775500
621000,27701200
631000,36883800
641000,20164200
651000,21211500
661000,25676500
671000,26996500
681000,22012400
691000,22212000
701000,28801800
711000,35975100
721000,24466800
731000,24143700
741000,25378000
751000,24167600
761000,27330100
771000,40459000
781000,24253300
791000,92927800
801000,97689900
811000,82788500
821000,107824600
831000,89906300
841000,87821700
851000,91507200
861000,89601400
871000,99873300
881000,95289100
891000,95862600
901000,94616700
911000,95815400
921000,101942100
931000,101951000
941000,117130900
951000,132447200
961000,110708300
971000,101755900
981000,100627200
991000,98309300
