Size,Time
1000,14703800
11000,14368700
21000,3833000
31000,4063000
41000,6013800
51000,7211500
61000,5811100
71000,6890700
81000,8102300
91000,7769500
101000,9017200
111000,9540500
121000,17589400
131000,16736600
141000,20739900
151000,30639800
161000,29420500
171000,26429500
181000,13395300
191000,12820400
201000,18514200
211000,16817900
221000,32164000
231000,27798400
241000,50477500
251000,43487900
261000,55207000
271000,58619700
281000,69819400
291000,74936500
301000,82468900
311000,91927600
321000,101325000
331000,102759100
341000,110117400
351000,117880700
361000,121550200
371000,127823000
381000,135603000
391000,140652600
401000,149108900
411000,145829200
421000,152757900
431000,157739100
441000,164336700
451000,177681800
461000,174936900
471000,181004400
481000,184115500
491000,195644000
501000,207747500
511000,260106400
521000,195634100
531000,210100600
541000,217076700
551000,226034100
561000,263725300
571000,330521700
581000,265219000
591000,256136500
601000,256704700
611000,293175600
621000,260555700
631000,258447500
641000,298054000
651000,276395800
661000,304173900
671000,316382100
681000,292482200
691000,424830400
701000,466648500
711000,607254100
721000,545444600
731000,395940500
741000,320725700
751000,379395400
761000,377031800
771000,363080900
781000,443799100
791000,493972200
801000,430136600
811000,407507200
821000,397697000
831000,380916900
841000,444986400
851000,424794200
861000,521875300
871000,415842500
881000,536917900
891000,522911000
901000,540383500
911000,466238900
921000,527724000
931000,553801000
941000,554726900
951000,637173100
961000,491324300
971000,594429100
981000,598116500
991000,567197600
