Size,Time
1000,12306900
11000,14046100
21000,511800
31000,595700
41000,679300
51000,717100
61000,547700
71000,618400
81000,765700
91000,778000
101000,779300
111000,902600
121000,1044700
131000,1334700
141000,955500
151000,903800
161000,957400
171000,1026900
181000,1154200
191000,1051200
201000,1115000
211000,1452700
221000,1360300
231000,1426900
241000,1204800
251000,1307700
261000,1213700
271000,1241500
281000,1705200
291000,1312900
301000,1223400
311000,1200000
321000,1312400
331000,1412200
341000,1316400
351000,1415700
361000,1266900
371000,1450600
381000,1260400
391000,1516000
401000,1527300
411000,1528900
421000,1523900
431000,1586300
441000,1610000
451000,1605300
461000,1807800
471000,1421600
481000,1717200
491000,1623600
501000,1437900
511000,1591900
521000,2231600
531000,1750500
541000,2567800
551000,1843600
561000,1855300
571000,1456200
581000,1533100
591000,1960000
601000,1658000
611000,1512900
621000,1528600
631000,2060900
641000,1747200
651000,1763200
661000,2260200
671000,2187600
681000,1591800
691000,1846300
701000,2032400
711000,1760500
721000,1990600
731000,1771900
741000,1735200
751000,2338000
761000,1956400
771000,1834700
781000,2550400
791000,1697300
801000,1876500
811000,1785400
821000,1915400
831000,1962700
841000,2220400
851000,2584300
861000,2611700
871000,2418300
881000,1954300
891000,1947600
901000,2011900
911000,1992500
921000,2354200
931000,1921900
941000,1861200
951000,2039100
961000,2273000
971000,2527600
981000,2762300
991000,4787700
