Size,Binary Search Time,Hash Table Search Time
1000,459400,4032500
11000,204500,3201000
21000,41400,4841600
31000,36900,10193900
41000,52100,9038300
51000,51500,7143300
61000,43500,9229600
71000,70100,12246300
81000,45600,12161800
91000,51800,9581200
101000,62900,10027400
111000,86000,18006300
121000,98100,9260800
131000,76000,22292100
141000,37100,21625100
151000,45600,19814200
161000,47400,27300400
171000,55400,32036800
181000,34900,22285000
191000,69700,25091300
201000,71500,17440900
211000,36200,22796000
221000,64600,13810500
231000,46200,28882500
241000,33100,17782100
251000,38600,13363900
261000,38600,16728600
271000,40200,32044600
281000,44300,46298100
291000,48800,20086600
301000,47500,44101900
311000,58300,27333000
321000,43100,18266000
331000,42500,42244300
341000,36800,17446600
351000,68000,33328300
361000,46700,28505600
371000,39200,18944000
381000,65100,21169300
391000,63000,18262100
401000,32300,20254500
411000,32600,21356800
421000,35600,19065200
431000,35100,17683100
441000,37400,22731100
451000,41300,23217700
461000,39700,24732000
471000,35400,19142600
481000,32600,23190100
491000,53500,22004600
501000,34600,21814200
511000,42100,40947900
521000,32600,21956500
531000,34200,23664200
541000,35000,26870700
551000,34400,22980600
561000,47900,26914200
571000,36400,47228500
581000,43700,25643600
591000,44800,45331500
601000,35700,24786500
611000,54500,28341400
621000,39500,28631400
631000,268300,38008800
641000,39000,27052700
651000,33600,31506500
661000,45700,32365500
671000,44100,28738400
681000,39200,27737900
691000,41500,33128200
701000,45800,30438600
711000,59200,29667100
721000,35900,31126900
731000,63500,27703900
741000,42300,27195800
751000,42800,32727900
761000,43600,42022900
771000,36500,28783800
781000,35700,58849400
791000,39500,31930400
801000,49300,39515600
811000,89200,33422100
821000,44200,32232100
831000,42700,31541000
841000,36100,32454500
851000,36700,112908200
861000,33400,99951100
871000,42200,54564100
881000,36800,105812700
891000,37700,86180200
901000,37100,107553200
911000,50300,114582600
921000,44900,189806200
931000,40400,120781300
941000,48000,106507700
951000,47300,169393200
961000,42800,120344800
971000,45100,153927600
981000,44700,133705700
991000,46200,170816400
